"","Gene","Species"
"207","mesTub","115499at32523"
"208","pelCas","115499at32523"
"209","pelSin","115499at32523"
"210","plaMeg","115499at32523"
"211","podExp","115499at32523"
"212","derCor","115729at32523"
"213","cheAbi","117158at32523"
"214","cheMyd","117158at32523"
"215","chrPic","117158at32523"
"216","derMaw","117158at32523"
"217","emySub","117158at32523"
"218","malTer","117158at32523"
"219","mesTub","117158at32523"
"220","pelSin","117158at32523"
"221","plaMeg","117158at32523"
"222","carIns","117316at32523"
"223","cheAbi","117316at32523"
"224","cheMyd","117316at32523"
"225","cheSer","117316at32523"
"226","chrPic","117316at32523"
"227","cuoMcc","117316at32523"
"228","derMaw","117316at32523"
"229","malTer","117316at32523"
"230","mesTub","117316at32523"
"231","pelCas","117316at32523"
"232","pelSin","117316at32523"
"233","plaMeg","117316at32523"
"234","podExp","117316at32523"
"235","carIns","118322at32523"
"236","cheAbi","118322at32523"
"237","cheMyd","118322at32523"
"238","chrPic","118322at32523"
"239","derMaw","118322at32523"
"240","emySub","118322at32523"
"241","gopAga","118322at32523"
"242","malTer","118322at32523"
"243","mesTub","118322at32523"
"244","pelCas","118322at32523"
"245","pelSin","118322at32523"
"246","plaMeg","118322at32523"
"247","podExp","118322at32523"
"248","terMex","118322at32523"
"249","cheAbi","118839at32523"
"250","cuoMcc","118839at32523"
"251","derCor","118839at32523"
"252","emySub","118839at32523"
"253","gopAga","118839at32523"
"254","malTer","118839at32523"
"255","mesTub","118839at32523"
"256","pelCas","118839at32523"
"257","podExp","118839at32523"
"258","terMex","118839at32523"
"259","cheAbi","119217at32523"
"260","cheMyd","119217at32523"
"261","cheSer","119217at32523"
"262","chrPic","119217at32523"
"263","cuoMcc","119217at32523"
"264","derCor","119217at32523"
"265","derMaw","119217at32523"
"266","emySub","119217at32523"
"267","gopAga","119217at32523"
"268","malTer","119217at32523"
"269","pelCas","119217at32523"
"270","plaMeg","119217at32523"
"271","podExp","119217at32523"
"272","terMex","119217at32523"
"273","carIns","122349at32523"
"274","cheAbi","122349at32523"
"275","cheMyd","122349at32523"
"276","cheSer","122349at32523"
"277","chrPic","122349at32523"
"278","cuoAmb","122349at32523"
"279","derCor","122349at32523"
"280","derMaw","122349at32523"
"281","emySub","122349at32523"
"282","malTer","122349at32523"
"283","pelSin","122349at32523"
"284","plaMeg","122349at32523"
"285","podExp","122349at32523"
"286","carIns","124988at32523"
"287","cheAbi","124988at32523"
"288","cheMyd","124988at32523"
"289","cheSer","124988at32523"
"290","chrPic","124988at32523"
"291","cuoAmb","124988at32523"
"292","cuoMcc","124988at32523"
"293","derCor","124988at32523"
"294","gopAga","124988at32523"
"295","pelCas","124988at32523"
"296","pelSin","124988at32523"
"297","plaMeg","124988at32523"
"298","podExp","124988at32523"
"299","terMex","124988at32523"
"300","cheAbi","126505at32523"
"301","cheMyd","126505at32523"
"302","chrPic","126505at32523"
"303","derCor","126505at32523"
"304","emySub","126505at32523"
"305","gopAga","126505at32523"
"306","malTer","126505at32523"
"307","mesTub","126505at32523"
"308","pelCas","126505at32523"
"309","pelSin","126505at32523"
"310","podExp","126505at32523"
"311","terMex","126505at32523"
"312","carIns","126689at32523"
"313","cheAbi","126689at32523"
"314","cheMyd","126689at32523"
"315","cheSer","126689at32523"
"316","chrPic","126689at32523"
"317","cuoAmb","126689at32523"
"318","cuoMcc","126689at32523"
"319","derCor","126689at32523"
"320","derMaw","126689at32523"
"321","emySub","126689at32523"
"322","gopAga","126689at32523"
"323","malTer","126689at32523"
"324","mesTub","126689at32523"
"325","pelCas","126689at32523"
"326","pelSin","126689at32523"
"327","plaMeg","126689at32523"
"328","podExp","126689at32523"
"329","carIns","130217at32523"
"330","cheAbi","130217at32523"
"331","cheMyd","130217at32523"
"332","cheSer","130217at32523"
"333","chrPic","130217at32523"
"334","cuoAmb","130217at32523"
"335","cuoMcc","130217at32523"
"336","derCor","130217at32523"
"337","derMaw","130217at32523"
"338","emySub","130217at32523"
"339","gopAga","130217at32523"
"340","malTer","130217at32523"
"341","mesTub","130217at32523"
"342","pelCas","130217at32523"
"343","pelSin","130217at32523"
"344","plaMeg","130217at32523"
"345","podExp","130217at32523"
"346","derCor","130802at32523"
"347","cheMyd","133426at32523"
"348","chrPic","133426at32523"
"349","cuoAmb","133426at32523"
"350","derMaw","133426at32523"
"351","gopAga","133426at32523"
"352","plaMeg","133426at32523"
"353","podExp","133426at32523"
"354","terMex","133426at32523"
"355","gopAga","133600at32523"
"356","carIns","134608at32523"
"357","cheAbi","134608at32523"
"358","cheMyd","134608at32523"
"359","cheSer","134608at32523"
"360","chrPic","134608at32523"
"361","cuoAmb","134608at32523"
"362","cuoMcc","134608at32523"
"363","derCor","134608at32523"
"364","derMaw","134608at32523"
"365","emySub","134608at32523"
"366","gopAga","134608at32523"
"367","malTer","134608at32523"
"368","mesTub","134608at32523"
"369","pelCas","134608at32523"
"370","pelSin","134608at32523"
"371","plaMeg","134608at32523"
"372","podExp","134608at32523"
"373","terMex","134608at32523"
"374","carIns","134798at32523"
"375","cheAbi","134798at32523"
"376","cheSer","134798at32523"
"377","chrPic","134798at32523"
"378","cuoAmb","134798at32523"
"379","cuoMcc","134798at32523"
"380","derCor","134798at32523"
"381","emySub","134798at32523"
"382","gopAga","134798at32523"
"383","malTer","134798at32523"
"384","mesTub","134798at32523"
"385","pelSin","134798at32523"
"386","plaMeg","134798at32523"
"387","podExp","134798at32523"
"388","terMex","134798at32523"
"389","cheSer","135005at32523"
"390","chrPic","135005at32523"
"391","cuoAmb","135005at32523"
"392","derCor","135005at32523"
"393","derMaw","135005at32523"
"394","emySub","135005at32523"
"395","mesTub","135005at32523"
"396","pelCas","135005at32523"
"397","pelSin","135005at32523"
"398","podExp","135005at32523"
"399","terMex","135005at32523"
"400","gopAga","135809at32523"
"401","derCor","136073at32523"
"402","cheAbi","136768at32523"
"403","chrPic","136768at32523"
"404","cuoAmb","136768at32523"
"405","cuoMcc","136768at32523"
"406","derMaw","136768at32523"
"407","mesTub","136768at32523"
"408","pelCas","136768at32523"
"409","pelSin","136768at32523"
"410","podExp","136768at32523"
"411","carIns","137324at32523"
"412","cheAbi","137324at32523"
"413","cheSer","137324at32523"
"414","chrPic","137324at32523"
"415","cuoAmb","137324at32523"
"416","cuoMcc","137324at32523"
"417","derCor","137324at32523"
"418","derMaw","137324at32523"
"419","emySub","137324at32523"
"420","gopAga","137324at32523"
"421","malTer","137324at32523"
"422","mesTub","137324at32523"
"423","pelCas","137324at32523"
"424","pelSin","137324at32523"
"425","plaMeg","137324at32523"
"426","podExp","137324at32523"
"427","terMex","137324at32523"
"428","gopAga","138161at32523"
"429","cheAbi","138465at32523"
"430","cheMyd","138465at32523"
"431","cheSer","138465at32523"
"432","chrPic","138465at32523"
"433","cuoMcc","138465at32523"
"434","derCor","138465at32523"
"435","derMaw","138465at32523"
"436","emySub","138465at32523"
"437","gopAga","138465at32523"
"438","malTer","138465at32523"
"439","mesTub","138465at32523"
"440","pelCas","138465at32523"
"441","pelSin","138465at32523"
"442","plaMeg","138465at32523"
"443","podExp","138465at32523"
"444","terMex","138465at32523"
"445","derCor","138762at32523"
"446","carIns","139146at32523"
"447","cheAbi","139146at32523"
"448","cheMyd","139146at32523"
"449","cheSer","139146at32523"
"450","chrPic","139146at32523"
"451","cuoAmb","139146at32523"
"452","cuoMcc","139146at32523"
"453","derCor","139146at32523"
"454","derMaw","139146at32523"
"455","emySub","139146at32523"
"456","gopAga","139146at32523"
"457","malTer","139146at32523"
"458","mesTub","139146at32523"
"459","pelCas","139146at32523"
"460","pelSin","139146at32523"
"461","plaMeg","139146at32523"
"462","podExp","139146at32523"
"463","plaMeg","140603at32523"
"464","carIns","141469at32523"
"465","cheAbi","141469at32523"
"466","cheMyd","141469at32523"
"467","cheSer","141469at32523"
"468","chrPic","141469at32523"
"469","cuoMcc","141469at32523"
"470","derCor","141469at32523"
"471","derMaw","141469at32523"
"472","emySub","141469at32523"
"473","gopAga","141469at32523"
"474","malTer","141469at32523"
"475","mesTub","141469at32523"
"476","pelCas","141469at32523"
"477","pelSin","141469at32523"
"478","plaMeg","141469at32523"
"479","podExp","141469at32523"
"480","terMex","141469at32523"
"481","carIns","141518at32523"
"482","cheAbi","141518at32523"
"483","cheMyd","141518at32523"
"484","cuoMcc","141518at32523"
"485","derCor","141518at32523"
"486","derMaw","141518at32523"
"487","emySub","141518at32523"
"488","gopAga","141518at32523"
"489","mesTub","141518at32523"
"490","pelCas","141518at32523"
"491","pelSin","141518at32523"
"492","plaMeg","141518at32523"
"493","podExp","141518at32523"
"494","carIns","142150at32523"
"495","cheMyd","142150at32523"
"496","chrPic","142150at32523"
"497","cuoAmb","142150at32523"
"498","cuoMcc","142150at32523"
"499","derCor","142150at32523"
"500","derMaw","142150at32523"
"501","emySub","142150at32523"
"502","gopAga","142150at32523"
"503","malTer","142150at32523"
"504","mesTub","142150at32523"
"505","pelCas","142150at32523"
"506","pelSin","142150at32523"
"507","plaMeg","142150at32523"
"508","podExp","142150at32523"
"509","terMex","142150at32523"
"510","carIns","143078at32523"
"511","cheAbi","143078at32523"
"512","cheMyd","143078at32523"
"513","chrPic","143078at32523"
"514","cuoAmb","143078at32523"
"515","cuoMcc","143078at32523"
"516","derCor","143078at32523"
"517","emySub","143078at32523"
"518","gopAga","143078at32523"
"519","malTer","143078at32523"
"520","mesTub","143078at32523"
"521","pelSin","143078at32523"
"522","plaMeg","143078at32523"
"523","podExp","143078at32523"
"524","terMex","143078at32523"
"525","cheAbi","143557at32523"
"526","cheMyd","143557at32523"
"527","cheSer","143557at32523"
"528","chrPic","143557at32523"
"529","cuoAmb","143557at32523"
"530","cuoMcc","143557at32523"
"531","derCor","143557at32523"
"532","derMaw","143557at32523"
"533","emySub","143557at32523"
"534","malTer","143557at32523"
"535","mesTub","143557at32523"
"536","pelSin","143557at32523"
"537","plaMeg","143557at32523"
"538","podExp","143557at32523"
"539","terMex","143557at32523"
"540","pelSin","143618at32523"
"541","derCor","143634at32523"
"542","carIns","145190at32523"
"543","cheAbi","145190at32523"
"544","cheMyd","145190at32523"
"545","cheSer","145190at32523"
"546","chrPic","145190at32523"
"547","cuoAmb","145190at32523"
"548","cuoMcc","145190at32523"
"549","derCor","145190at32523"
"550","derMaw","145190at32523"
"551","emySub","145190at32523"
"552","gopAga","145190at32523"
"553","malTer","145190at32523"
"554","mesTub","145190at32523"
"555","pelCas","145190at32523"
"556","pelSin","145190at32523"
"557","plaMeg","145190at32523"
"558","podExp","145190at32523"
"559","terMex","145190at32523"
"560","pelSin","145540at32523"
"561","mesTub","146084at32523"
"562","cuoMcc","146781at32523"
"563","gopAga","146781at32523"
"564","carIns","155052at32523"
"565","cheAbi","155052at32523"
"566","cheMyd","155052at32523"
"567","cheSer","155052at32523"
"568","chrPic","155052at32523"
"569","cuoAmb","155052at32523"
"570","cuoMcc","155052at32523"
"571","derCor","155052at32523"
"572","derMaw","155052at32523"
"573","emySub","155052at32523"
"574","gopAga","155052at32523"
"575","malTer","155052at32523"
"576","mesTub","155052at32523"
"577","pelCas","155052at32523"
"578","pelSin","155052at32523"
"579","plaMeg","155052at32523"
"580","podExp","155052at32523"
"581","terMex","155052at32523"
"582","cheAbi","155164at32523"
"583","cheMyd","155164at32523"
"584","cheSer","155164at32523"
"585","chrPic","155164at32523"
"586","cuoAmb","155164at32523"
"587","cuoMcc","155164at32523"
"588","derMaw","155164at32523"
"589","emySub","155164at32523"
"590","gopAga","155164at32523"
"591","malTer","155164at32523"
"592","mesTub","155164at32523"
"593","pelCas","155164at32523"
"594","pelSin","155164at32523"
"595","plaMeg","155164at32523"
"596","podExp","155164at32523"
"597","terMex","155164at32523"
"598","carIns","155190at32523"
"599","cheAbi","155190at32523"
"600","cheMyd","155190at32523"
"601","cheSer","155190at32523"
"602","chrPic","155190at32523"
"603","cuoAmb","155190at32523"
"604","cuoMcc","155190at32523"
"605","derMaw","155190at32523"
"606","emySub","155190at32523"
"607","gopAga","155190at32523"
"608","malTer","155190at32523"
"609","mesTub","155190at32523"
"610","pelCas","155190at32523"
"611","plaMeg","155190at32523"
"612","podExp","155190at32523"
"613","terMex","155190at32523"
"614","carIns","155765at32523"
"615","cheAbi","155765at32523"
"616","cheMyd","155765at32523"
"617","chrPic","155765at32523"
"618","cuoAmb","155765at32523"
"619","cuoMcc","155765at32523"
"620","derCor","155765at32523"
"621","derMaw","155765at32523"
"622","emySub","155765at32523"
"623","gopAga","155765at32523"
"624","malTer","155765at32523"
"625","mesTub","155765at32523"
"626","pelCas","155765at32523"
"627","pelSin","155765at32523"
"628","plaMeg","155765at32523"
"629","podExp","155765at32523"
"630","cheMyd","155788at32523"
"631","chrPic","155788at32523"
"632","cuoMcc","155788at32523"
"633","derCor","155788at32523"
"634","derMaw","155788at32523"
"635","emySub","155788at32523"
"636","malTer","155788at32523"
"637","mesTub","155788at32523"
"638","pelCas","155788at32523"
"639","plaMeg","155788at32523"
"640","podExp","155788at32523"
"641","terMex","155788at32523"
"642","carIns","156110at32523"
"643","derMaw","156110at32523"
"644","emySub","156110at32523"
"645","pelCas","156110at32523"
"646","pelSin","156110at32523"
"647","gopAga","156520at32523"
"648","gopAga","158052at32523"
"649","carIns","158268at32523"
"650","cheAbi","158268at32523"
"651","cheMyd","158268at32523"
"652","cheSer","158268at32523"
"653","chrPic","158268at32523"
"654","cuoAmb","158268at32523"
"655","cuoMcc","158268at32523"
"656","derCor","158268at32523"
"657","derMaw","158268at32523"
"658","emySub","158268at32523"
"659","gopAga","158268at32523"
"660","malTer","158268at32523"
"661","mesTub","158268at32523"
"662","pelSin","158268at32523"
"663","plaMeg","158268at32523"
"664","podExp","158268at32523"
"665","terMex","158268at32523"
"666","cheAbi","158493at32523"
"667","cheMyd","158493at32523"
"668","cheSer","158493at32523"
"669","chrPic","158493at32523"
"670","cuoAmb","158493at32523"
"671","cuoMcc","158493at32523"
"672","derCor","158493at32523"
"673","derMaw","158493at32523"
"674","emySub","158493at32523"
"675","gopAga","158493at32523"
"676","malTer","158493at32523"
"677","mesTub","158493at32523"
"678","pelSin","158493at32523"
"679","plaMeg","158493at32523"
"680","podExp","158493at32523"
"681","terMex","158493at32523"
"682","pelCas","158701at32523"
"683","pelSin","158701at32523"
"684","podExp","158701at32523"
"685","carIns","158753at32523"
"686","cheAbi","158753at32523"
"687","cheMyd","158753at32523"
"688","cheSer","158753at32523"
"689","chrPic","158753at32523"
"690","cuoAmb","158753at32523"
"691","cuoMcc","158753at32523"
"692","derCor","158753at32523"
"693","derMaw","158753at32523"
"694","emySub","158753at32523"
"695","gopAga","158753at32523"
"696","malTer","158753at32523"
"697","mesTub","158753at32523"
"698","pelCas","158753at32523"
"699","pelSin","158753at32523"
"700","plaMeg","158753at32523"
"701","terMex","158753at32523"
"702","carIns","159599at32523"
"703","cheAbi","159599at32523"
"704","cheMyd","159599at32523"
"705","cheSer","159599at32523"
"706","cuoAmb","159599at32523"
"707","derCor","159599at32523"
"708","derMaw","159599at32523"
"709","emySub","159599at32523"
"710","gopAga","159599at32523"
"711","malTer","159599at32523"
"712","mesTub","159599at32523"
"713","pelCas","159599at32523"
"714","plaMeg","159599at32523"
"715","podExp","159599at32523"
"716","carIns","159884at32523"
"717","cheAbi","159884at32523"
"718","cheMyd","159884at32523"
"719","cheSer","159884at32523"
"720","chrPic","159884at32523"
"721","cuoAmb","159884at32523"
"722","cuoMcc","159884at32523"
"723","derCor","159884at32523"
"724","derMaw","159884at32523"
"725","emySub","159884at32523"
"726","gopAga","159884at32523"
"727","malTer","159884at32523"
"728","pelCas","159884at32523"
"729","pelSin","159884at32523"
"730","plaMeg","159884at32523"
"731","podExp","159884at32523"
"732","terMex","159884at32523"
"733","cheMyd","160962at32523"
"734","cheSer","160962at32523"
"735","chrPic","160962at32523"
"736","derCor","160962at32523"
"737","derMaw","160962at32523"
"738","emySub","160962at32523"
"739","gopAga","160962at32523"
"740","pelCas","160962at32523"
"741","pelSin","160962at32523"
"742","plaMeg","160962at32523"
"743","podExp","160962at32523"
"744","terMex","160962at32523"
"745","cuoAmb","161244at32523"
"746","cuoMcc","161244at32523"
"747","gopAga","161244at32523"
"748","malTer","161244at32523"
"749","pelSin","161244at32523"
"750","podExp","161244at32523"
"751","carIns","161653at32523"
"752","cheAbi","161653at32523"
"753","cheMyd","161653at32523"
"754","cheSer","161653at32523"
"755","chrPic","161653at32523"
"756","cuoAmb","161653at32523"
"757","cuoMcc","161653at32523"
"758","derCor","161653at32523"
"759","derMaw","161653at32523"
"760","gopAga","161653at32523"
"761","malTer","161653at32523"
"762","mesTub","161653at32523"
"763","pelCas","161653at32523"
"764","pelSin","161653at32523"
"765","plaMeg","161653at32523"
"766","podExp","161653at32523"
"767","terMex","161653at32523"
"768","cheAbi","163180at32523"
"769","cheMyd","163180at32523"
"770","cheSer","163180at32523"
"771","chrPic","163180at32523"
"772","cuoAmb","163180at32523"
"773","cuoMcc","163180at32523"
"774","derMaw","163180at32523"
"775","emySub","163180at32523"
"776","malTer","163180at32523"
"777","mesTub","163180at32523"
"778","pelSin","163180at32523"
"779","plaMeg","163180at32523"
"780","terMex","163180at32523"
"781","carIns","163231at32523"
"782","cheMyd","163231at32523"
"783","cheSer","163231at32523"
"784","chrPic","163231at32523"
"785","cuoAmb","163231at32523"
"786","derCor","163231at32523"
"787","derMaw","163231at32523"
"788","emySub","163231at32523"
"789","gopAga","163231at32523"
"790","malTer","163231at32523"
"791","mesTub","163231at32523"
"792","pelCas","163231at32523"
"793","pelSin","163231at32523"
"794","plaMeg","163231at32523"
"795","podExp","163231at32523"
"796","terMex","163231at32523"
"797","carIns","163930at32523"
"798","cheAbi","163930at32523"
"799","cheMyd","163930at32523"
"800","cheSer","163930at32523"
"801","chrPic","163930at32523"
"802","cuoAmb","163930at32523"
"803","cuoMcc","163930at32523"
"804","derMaw","163930at32523"
"805","emySub","163930at32523"
"806","gopAga","163930at32523"
"807","malTer","163930at32523"
"808","pelCas","163930at32523"
"809","plaMeg","163930at32523"
"810","podExp","163930at32523"
"811","terMex","163930at32523"
"812","pelSin","163950at32523"
"813","podExp","168156at32523"
"814","carIns","168477at32523"
"815","cheMyd","168477at32523"
"816","cheSer","168477at32523"
"817","chrPic","168477at32523"
"818","derCor","168477at32523"
"819","derMaw","168477at32523"
"820","gopAga","168477at32523"
"821","malTer","168477at32523"
"822","mesTub","168477at32523"
"823","pelCas","168477at32523"
"824","pelSin","168477at32523"
"825","plaMeg","168477at32523"
"826","podExp","168477at32523"
"827","terMex","168477at32523"
"828","malTer","169032at32523"
"829","plaMeg","169719at32523"
"830","cheAbi","172732at32523"
"831","cheMyd","172732at32523"
"832","chrPic","172732at32523"
"833","cuoMcc","172732at32523"
"834","derMaw","172732at32523"
"835","emySub","172732at32523"
"836","malTer","172732at32523"
"837","mesTub","172732at32523"
"838","pelCas","172732at32523"
"839","plaMeg","172732at32523"
"840","podExp","172732at32523"
"841","cheAbi","173575at32523"
"842","cheMyd","173575at32523"
"843","cheSer","173575at32523"
"844","chrPic","173575at32523"
"845","cuoMcc","173575at32523"
"846","derMaw","173575at32523"
"847","emySub","173575at32523"
"848","gopAga","173575at32523"
"849","mesTub","173575at32523"
"850","pelCas","173575at32523"
"851","pelSin","173575at32523"
"852","plaMeg","173575at32523"
"853","podExp","173575at32523"
"854","terMex","173575at32523"
"855","derCor","173797at32523"
"856","cheAbi","174347at32523"
"857","chrPic","174347at32523"
"858","cuoAmb","174347at32523"
"859","cuoMcc","174347at32523"
"860","emySub","174347at32523"
"861","malTer","174347at32523"
"862","mesTub","174347at32523"
"863","pelCas","174347at32523"
"864","pelSin","174347at32523"
"865","plaMeg","174347at32523"
"866","podExp","174347at32523"
"867","terMex","174347at32523"
"868","carIns","174649at32523"
"869","cheAbi","174649at32523"
"870","cheMyd","174649at32523"
"871","cheSer","174649at32523"
"872","chrPic","174649at32523"
"873","cuoAmb","174649at32523"
"874","cuoMcc","174649at32523"
"875","derCor","174649at32523"
"876","derMaw","174649at32523"
"877","emySub","174649at32523"
"878","gopAga","174649at32523"
"879","mesTub","174649at32523"
"880","pelCas","174649at32523"
"881","pelSin","174649at32523"
"882","plaMeg","174649at32523"
"883","podExp","174649at32523"
"884","emySub","176061at32523"
"885","malTer","176061at32523"
"886","podExp","176061at32523"
"887","plaMeg","176403at32523"
"888","carIns","176713at32523"
"889","cheAbi","176713at32523"
"890","cheMyd","176713at32523"
"891","cheSer","176713at32523"
"892","chrPic","176713at32523"
"893","cuoAmb","176713at32523"
"894","cuoMcc","176713at32523"
"895","derCor","176713at32523"
"896","derMaw","176713at32523"
"897","emySub","176713at32523"
"898","gopAga","176713at32523"
"899","malTer","176713at32523"
"900","mesTub","176713at32523"
"901","pelCas","176713at32523"
"902","pelSin","176713at32523"
"903","plaMeg","176713at32523"
"904","podExp","176713at32523"
"905","terMex","176713at32523"
"906","carIns","178523at32523"
"907","cheAbi","178523at32523"
"908","cheMyd","178523at32523"
"909","cheSer","178523at32523"
"910","chrPic","178523at32523"
"911","cuoAmb","178523at32523"
"912","cuoMcc","178523at32523"
"913","derCor","178523at32523"
"914","derMaw","178523at32523"
"915","emySub","178523at32523"
"916","gopAga","178523at32523"
"917","malTer","178523at32523"
"918","mesTub","178523at32523"
"919","pelCas","178523at32523"
"920","pelSin","178523at32523"
"921","plaMeg","178523at32523"
"922","podExp","178523at32523"
"923","terMex","178523at32523"
"924","derCor","178688at32523"
"925","derCor","179213at32523"
"926","malTer","179213at32523"
"927","malTer","179279at32523"
"928","gopAga","181827at32523"
"929","carIns","182203at32523"
