"","x"
"267","93889at32523"
"268","98018at32523"
"269","99380at32523"
"270","99669at32523"
"271","113678at32523"
"272","119720at32523"
"273","126373at32523"
"274","127183at32523"
"275","131464at32523"
"276","132121at32523"
"277","155164at32523"
"278","156913at32523"
"279","157522at32523"
"280","16076at32523"
"281","16928at32523"
"282","185471at32523"
"283","188390at32523"
"284","198372at32523"
"285","205613at32523"
"286","222981at32523"
"287","228237at32523"
"288","239187at32523"
"289","242048at32523"
"290","245583at32523"
"291","254286at32523"
"292","257460at32523"
"293","258205at32523"
"294","263835at32523"
"295","264741at32523"
"296","267603at32523"
"297","270215at32523"
"298","282456at32523"
"299","282898at32523"
"300","289167at32523"
"301","45712at32523"
"302","53426at32523"
"303","62513at32523"
"304","69006at32523"
"305","70489at32523"
"306","72222at32523"
"307","76408at32523"
"308","94161at32523"
"309","114777at32523"
"310","189151at32523"
"311","203570at32523"
"312","203700at32523"
"313","236190at32523"
"314","261311at32523"
"315","264193at32523"
"316","284319at32523"
"317","289170at32523"
"318","301105at32523"
"319","308935at32523"
"320","91107at32523"
"321","95675at32523"
"322","226133at32523"
"323","47625at32523"
"324","61878at32523"
"325","249702at32523"
"326","72976at32523"
"327","54011at32523"
"328","161674at32523"
"329","227938at32523"
"330","280931at32523"
"331","93479at32523"
